URL,ASIN,Title,Brand,Fulfillment,Category,BSR,Subcategory,Price,Price Trend (90 days) (%),Monthly Sales,Sales Trend (90 days) (%),Monthly Revenue,Review Count,Reviews Rating,Seller,Number of Active Sellers,Last Year Sales,Sales Year Over Year (%),Size Tier,Length,Width,Height,Weight,Storage Fee (Jan - Sep),Storage Fee (Oct - Dec),Best Sales Period,Age (Month),Number of Images,Variation Count,Sales to Reviews,profit_margin,Reviews,Solving need,Recurring,price_range,Competition,packaging_size,Seasonal,customer_pricing,Cross Selling,Fragile,Inventory time
https://amazon.in/dp/B0CLDSCHG9,B0CLDSCHG9,BUMTUM Baby Gift Box Pack of 7 | Skin & Hair Care Products Gift Box | Newborn Baby Essentials | New Born Baby Gifts | Baby Shower Gift | Combo,Bumtum,FBA,Baby,2962,Gift Packs,476.0,37.0,108,-40.0,51408.0,225,4.2,RK World Infocom Pvt Ltd,1,,,Standard Size,2.24,10.91,14.8,1.87,,,02/01/2024,9,6,0,0.48,476.0,225.0,True,False,>500,Low,Small,False,Flexible,True,False,Less
https://amazon.in/dp/B0CKM39FVN,B0CKM39FVN,PARASNATH Squat Toilet Seat Leg Stool 8 inch (White Colour) for Western Toilet Portable Comfortable Sturdy Foot Step for Potty - Made in India,PARASNATH,FBA,Baby,459,Step Stools,449.0,4.0,187,-39.0,83963.0,485,4.2,PARASNATH PVT LTD,1,,,Standard Size,8.27,12.6,18.5,2.2,,,03/01/2024,9,9,0,0.4,449.0,467.5,True,False,>500,Low,Small,False,Flexible,True,False,Less
https://amazon.in/dp/B0BZSGW6HJ,B0BZSGW6HJ,"Cherilo Half Size Elevated Wedge Pillow for Baby Crib & Mattress, Helps to Elevate Baby for Acid Reflux, Colic, GERD, Heat Burn & Vomiting | 19"" x 13.5"" x 3.5"" | - with Removable Velvet Cover - Peach",Cherilo,FBA,Baby,781,Back & Body Supports,930.0,,151,3.0,140430.0,223,4.1,RK World Infocom Pvt Ltd,2,,,Standard Size,4.29,13.46,19.65,0.9,,,07/01/2024,8,9,28,0.68,930.0,222.05882352941174,True,False,>500,Low,Small,False,Flexible,True,False,Less
https://amazon.in/dp/B0BZSJMYP8,B0BZSJMYP8,"Cherilo Half Size Elevated Wedge Baby Pillows for New Born, Pillow for Kids, Crib & Mattress, Prevents Acid Reflux, Colic, GERD, Heat Burn & Vomiting, 19"" x 13.5"" x 3.5"", With Cover, Star Design, Blue",Cherilo,FBA,Baby,781,Back & Body Supports,929.0,,151,3.0,147225.0,223,4.1,RK World Infocom Pvt Ltd,2,,,Standard Size,4.02,13.94,20.08,0.86,,,07/01/2024,9,9,28,0.68,975.0,222.05882352941174,True,False,>500,Low,Small,False,Flexible,True,False,Less
https://amazon.in/dp/B0CJ35YRLX,B0CJ35YRLX,FRIDO New CLOTHINA New Born Baby Godadi Pack of 5 Combo Set Soft Cotton Baby godi| Godari | Baby Bed | Crib Sheet | Cartoon Mat Baby Godadi | Bedding Set | Multicolor,FRIDO,FBM,Baby,317,Bedding Sets,669.0,-7.0,289,8.0,193341.0,375,4.3,Platinum Creation,2,,,Standard Size,11.81,4.72,1.18,0.77,,,07/01/2024,9,8,2,0.77,669.0,375.3246753246753,True,False,>500,Low,Small,False,Flexible,True,False,Less
https://amazon.in/dp/B0CGX4C46N,B0CGX4C46N,TIDY SLEEP Baby Dry Sheet/Mattress Protector (Waterproof/Quickly Dry/Extra Absorbent/Reusable) - Pack of 2,TIDY SLEEP,FBA,Baby,448,Crib Mattress Protection,499.0,,217,53.0,108283.0,122,4.2,TIDY SLEEP,1,,,Standard Size,3.82,7.64,10.35,0.99,,,07/01/2024,2,6,21,1.87,499.0,116.04278074866309,True,False,>500,Low,Small,False,Flexible,True,False,Less
https://amazon.in/dp/B0CBPHPXG1,B0CBPHPXG1,"Florida All Season Ultra Soft Kids AC Blanket/Baby Wrapper/Flannel Baby Blanket for 0-6 Yrs Kids (110x150cm, Pack of 2, Pink Blue)",Florida,FBM,Baby,929,Blankets,854.0,,127,1120.0,126873.0,120,4.1,Florida - Dress your home,1,,,Standard Size,5.91,1.97,7.87,1.87,,,03/01/2024,11,9,4,1.08,999.0,117.59259259259258,True,False,>500,Low,Small,False,Flexible,True,False,Less
https://amazon.in/dp/B0BVV9X42J,B0BVV9X42J,"Amazon Brand - Supples Baby Proofing Kit | 16.4 Ft Edge Guard, 8 Pre-Taped Corner Protectors, 1 Door Stopper, 1 Tape | Safe, Versatile, Customisable, Tested as per IS9873 Standards (Grey)",Supples,FBA,Baby,475,Edge & Corner Guards,469.0,-7.0,217,163.0,101773.0,190,4.3,RK World Infocom Pvt Ltd,1,1824.0,,Standard Size,2.4,16.38,17.24,1.61,,,10/01/2023,12,7,4,1.14,469.0,190.35087719298247,True,False,>500,Low,Small,False,Flexible,True,False,Less
https://amazon.in/dp/B0CJV19FSD,B0CJV19FSD,"MOMITTLE Kids Safety Belt For Two Wheeler With Reflective Strips,Portable Seat Belt Children Motorcycle Harness For Motorcycle Bike,Adjustable Safety Harness For Boys Girls (2-12Years), Pink",MOMITTLE,FBA,Baby,704,Safety Harnesses,669.0,-1.0,150,127.0,100350.0,112,4.3,Swasti Enterprises 22,1,,,Standard Size,2.17,6.26,8.35,0.42,,,07/01/2024,10,8,19,1.34,669.0,111.94029850746269,True,False,>500,Low,Small,False,Flexible,True,False,Less
https://amazon.in/dp/B0CW23LMB4,B0CW23LMB4,"MOMITTLE Kids Safety Belt For Two Wheeler With Reflective Strips, Portable Car Seat Safety Belt For Kids, Kids Belt For Bike Ride Harness, Adjustable Safety Harness For Boys Girls, Multicolor",MOMITTLE,FBA,Baby,704,Safety Harnesses,669.0,-1.0,151,127.0,101019.0,112,4.3,Swasti Enterprises 22,1,,,Standard Size,2.28,7.64,10.87,0.42,,,07/01/2024,5,9,19,1.35,669.0,111.85185185185185,True,False,>500,Low,Small,False,Flexible,True,False,Less
